Tehsil,District,Division,Province,OOSC number ,OOSC number male ,OOSC number female ,Rural Total,Rural Male,Rural Female,Urban Total,Urban Male,Urban Female,5-16 population,All Male 5-16 population,All female 5-16population,Total Rural  5-16population,Male Rural  5-16population,Female rural  5-16population,Total Urban  5-16population,Male Urban  5-16population,Female Urban  5-16population,% OOSC 5-16 population,% OOSC All Male 5-16 population,%OOSC All female 5-16population,%OOSC Total Rural 5-16population,%OOSC Male Rural  5-16population,%OOSC Female rural  5-16population,%OOSC Total Urban  5-16population,%OOSC Male Urban  5-16population,%OOSC Female Urban  5-16population,Rank total %,Rank male%,Rank female%,Rank Rural Total%,Rank Rural Male%,Rank Rural Female%,Rank Urban Total%,Rank Urban Male%,Rank Urban Female%,In district Rank total ,In district Rank male,In district Rank female,In district Rank Rural Total,In district Rank Rural Male,In district Rank Rural Female,In district Rank Urban Total,In district Rank Urban Male,In district Rank Urban Female,Total LR,Male LR,Female LR,Rural LR,Rural Male LR,Rural Female LR,Urban LR,Urban Male LR,Urban Female LR, OOSC number  ,Rank (OOSC #)
Awaran ,Awaran,,Balochistan,"7,659","3,847","3,811","2,956","1,387","1,569","4,703","2,460","2,242","17,030","8,542","8,485","6,496","3,200","3,296","10,534","5,342","5,189",44.97%,45.04%,44.91%,45.50%,43.34%,47.60%,44.65%,46.05%,43.21%,282,349,233,225,273,196,328,348,301,2,2,2,2,2,2,4,5,4,42.9,50.9,34.92,36.5,44.57,28.51,46.64,54.57,38.68,"7,659",79
Gishekore ,Awaran,,Balochistan,"4,755","2,340","2,415","4,755","2,340","2,415",0,0,0,"11,292","5,849","5,443","11,292","5,849","5,443",0,0,0,42.11%,40.01%,44.37%,42.11%,40.01%,44.37%,0.00%,0.00%,0.00%,260,298,230,206,244,180,1,1,1,1,1,1,1,1,1,1,1,1,36.34,45.74,26.52,36.34,45.74,26.52,-,-,-,"4,755",36
Jhal Jhao ,Awaran,,Balochistan,"6,648","3,274","3,374","6,648","3,274","3,374",0,0,0,"10,440","5,387","5,053","10,440","5,387","5,053",0,0,0,63.68%,60.78%,66.77%,63.68%,60.78%,66.77%,0.00%,0.00%,0.00%,454,485,398,383,431,324,1,1,1,5,5,5,5,5,5,1,1,1,26.62,33.36,19.52,26.62,33.36,19.52,-,-,-,"6,648",59
Korak Jhao ,Awaran,,Balochistan,"6,662","3,333","3,329","6,662","3,333","3,329",0,0,0,"10,610","5,490","5,119","10,610","5,490","5,119",0,0,0,62.79%,60.71%,65.03%,62.79%,60.71%,65.03%,0.00%,0.00%,0.00%,443,483,377,373,429,311,1,1,1,4,4,4,4,4,4,1,1,1,26.71,34.69,18.05,26.71,34.69,18.05,-,-,-,"6,662",61
Mashkai ,Awaran,,Balochistan,"7,727","3,889","3,838","5,151","2,536","2,615","2,576","1,353","1,223","15,375","7,873","7,502","9,627","4,880","4,747","5,748","2,993","2,755",50.26%,49.40%,51.16%,53.51%,51.97%,55.09%,44.82%,45.21%,44.39%,330,391,273,288,346,237,329,347,307,3,3,3,3,3,3,5,4,5,41.21,48.92,32.70,40.26,48.51,31.33,42.6,49.5,34.73,"7,727",81
Barkhan ,Barkhan,,Balochistan,"46,164","18,077","28,083","44,563","17,308","27,251","1,601",769,832,"79,816","42,611","37,201","74,795","39,916","34,875","5,021","2,695","2,326",57.84%,42.42%,75.49%,59.58%,43.36%,78.14%,31.89%,28.53%,35.77%,394,327,483,340,274,451,250,249,252,1,1,1,1,1,1,1,1,1,33.62,41.63,24.93,31.63,39.34,23.23,57.93,70.02,45.22,"46,164",393
Chagai ,Chagai,,Balochistan,"19,128","8,845","10,281","19,128","8,845","10,281",0,0,0,"27,401","13,826","13,573","27,401","13,826","13,573",0,0,0,69.81%,63.97%,75.75%,69.81%,63.97%,75.75%,0.00%,0.00%,0.00%,506,520,487,455,468,421,1,1,1,3,3,3,3,3,3,1,1,1,23.77,34.61,12.59,23.77,34.61,12.59,-,-,-,"19,128",191
Dalbandin ,Chagai,,Balochistan,"29,085","14,420","14,664","25,098","12,317","12,780","3,987","2,103","1,884","45,147","23,343","21,803","37,959","19,678","18,280","7,188","3,665","3,523",64.42%,61.77%,67.26%,66.12%,62.59%,69.91%,55.47%,57.38%,53.48%,462,494,404,416,457,352,363,372,338,2,2,2,2,2,2,5,5,5,39.1,47.77,29.80,35.08,43.92,25.55,57.88,66,49.38,"29,085",274
Nokkundi ,Chagai,,Balochistan,"7,328","4,018","3,309","7,328","4,018","3,309",0,0,0,"12,246","6,725","5,520","12,246","6,725","5,520",0,0,0,59.84%,59.75%,59.95%,59.84%,59.75%,59.95%,0.00%,0.00%,0.00%,409,477,342,342,424,277,1,1,1,1,1,1,1,1,1,1,1,1,48.57,55.57,40.33,48.57,55.57,40.33,-,-,-,"7,328",73
Taftan ,Chagai,,Balochistan,"5,680","3,140","2,540","5,680","3,140","2,540",0,0,0,"7,285","4,014","3,271","7,285","4,014","3,271",0,0,0,77.97%,78.23%,77.65%,77.97%,78.23%,77.65%,0.00%,0.00%,0.00%,563,573,501,520,535,443,1,1,1,5,5,4,5,5,4,1,1,1,19.7,27.71,8.57,19.7,27.71,8.57,-,-,-,"5,680",45
Yak Machh ,Chagai,,Balochistan,"6,970","3,533","3,437","6,970","3,533","3,437",0,0,0,"9,026","4,707","4,319","9,026","4,707","4,319",0,0,0,77.22%,75.06%,79.58%,77.22%,75.06%,79.58%,0.00%,0.00%,0.00%,556,563,515,513,522,459,1,1,1,4,4,5,4,4,5,1,1,1,24.36,30.12,17.99,24.36,30.12,17.99,-,-,-,"6,970",67
Chaman  ,Chaman,,Balochistan,"23,262","10,760","12,502",0,0,0,"23,262","10,760","12,502","46,753","26,144","20,609",0,0,0,"46,753","26,144","20,609",49.76%,41.16%,60.66%,0.00%,0.00%,0.00%,49.76%,41.16%,60.66%,327,314,348,1,1,1,347,333,363,1,1,1,1,1,1,2,2,2,51.36,61.27,39.83,-,-,-,51.36,61.27,39.83,"23,262",223
Chaman Saddar ,Chaman,,Balochistan,"94,637","47,668","46,964","94,637","47,668","46,964",0,0,0,"132,386","77,083","55,298","132,386","77,083","55,298",0,0,0,71.49%,61.84%,84.93%,71.49%,61.84%,84.93%,0.00%,0.00%,0.00%,518,497,545,469,444,503,1,1,1,2,2,2,2,2,2,1,1,1,35.18,42.18,26.62,35.18,42.18,26.62,-,-,-,"94,637",536
Baiker ,Dera Bugti ,,Balochistan,"9,837","5,793","4,044","9,837","5,793","4,044",0,0,0,"13,200","8,440","4,760","13,200","8,440","4,760",0,0,0,74.52%,68.64%,84.96%,74.52%,68.64%,84.96%,0.00%,0.00%,0.00%,544,541,546,499,498,504,1,1,1,3,3,5,1,1,4,1,1,1,15.62,24.05,4.92,15.62,24.05,4.92,-,-,-,"9,837",96
Dera Bugti ,Dera Bugti ,,Balochistan,"9,953","4,761","5,192","5,652","3,019","2,633","4,301","1,742","2,559","17,495","9,686","7,809","7,578","4,366","3,212","9,917","5,320","4,597",56.89%,49.15%,66.49%,74.58%,69.15%,81.97%,43.37%,32.74%,55.67%,383,389,394,500,503,481,325,286,347,1,1,1,2,2,1,7,7,7,33.75,48.17,17.96,16.79,24.85,7.65,46.27,65.9,25.33,"9,953",99
Loti ,Dera Bugti ,,Balochistan,"6,651","4,355",2296,"6,651","4,355","2,296",0,0,0,"8,009","5,388","2,621","8,009","5,388","2,621",0,0,0,83.04%,80.83%,87.60%,83.04%,80.83%,87.60%,0.00%,0.00%,0.00%,573,576,560,534,540,519,1,1,1,8,8,7,8,8,6,1,1,1,14.84,17.57,10.67,14.84,17.57,10.67,-,-,-,"6,651",60
Malam ,Dera Bugti ,,Balochistan,"11,033","6,376","4,657","11,033","6,376","4,657",0,0,0,"13,748","8,487","5,261","13,748","8,487","5,261",0,0,0,80.25%,75.13%,88.52%,80.25%,75.13%,88.52%,0.00%,0.00%,0.00%,565,564,563,525,523,524,1,1,1,7,7,8,6,6,8,1,1,1,25.8,34.74,14.69,25.8,34.74,14.69,-,-,-,"11,033",110
Pir Koh,Dera Bugti ,,Balochistan,"11,261","6,371","4,890","11,261","6,371","4,890",0,0,0,"14,663","8,858","5,805","14,663","8,858","5,805",0,0,0,76.80%,71.92%,84.24%,76.80%,71.92%,84.24%,0.00%,0.00%,0.00%,554,557,542,511,514,500,1,1,1,5,5,4,4,4,3,1,1,1,12.12,19.94,3.31,12.12,19.94,3.31,-,-,-,"11,261",113
